fill	xmin	xmax	showSelected1	PANEL	group
#F6F4BF	118173.358	118176.231	noPeaks	1	1
#F6F4BF	118176.442	118181.782	noPeaks	1	1
#F6F4BF	118207.607	118211.434	noPeaks	1	1
#F6F4BF	118213.055	118214.022	noPeaks	1	1
#F6F4BF	118214.653	118215.916	noPeaks	1	1
#F6F4BF	118216.57	118220.883	noPeaks	1	1
#F6F4BF	118222.047	118228.604	noPeaks	1	1
#FFAFAF	118229.419	118230.534	peakStart	1	3
#FF4C4C	118230.778	118232.881	peakEnd	1	2
#FFAFAF	118173.358	118176.231	peakStart	2	3
#FF4C4C	118176.442	118181.782	peakEnd	2	2
#FFAFAF	118207.607	118211.434	peakStart	2	3
#FF4C4C	118213.055	118214.022	peakEnd	2	2
#FFAFAF	118214.653	118215.916	peakStart	2	3
#FF4C4C	118216.57	118220.883	peakEnd	2	2
#F6F4BF	118222.047	118228.604	noPeaks	2	1
#FFAFAF	118229.419	118230.534	peakStart	2	3
#FF4C4C	118230.778	118232.881	peakEnd	2	2
#FFAFAF	118173.358	118176.231	peakStart	3	3
#FF4C4C	118176.442	118181.782	peakEnd	3	2
#FFAFAF	118207.607	118211.434	peakStart	3	3
#FF4C4C	118213.055	118214.022	peakEnd	3	2
#FFAFAF	118214.653	118215.916	peakStart	3	3
#FF4C4C	118216.57	118220.883	peakEnd	3	2
#F6F4BF	118222.047	118228.604	noPeaks	3	1
#FFAFAF	118229.419	118230.534	peakStart	3	3
#FF4C4C	118230.778	118232.881	peakEnd	3	2
#F6F4BF	118173.358	118176.231	noPeaks	4	1
#F6F4BF	118176.442	118181.782	noPeaks	4	1
#F6F4BF	118207.607	118211.434	noPeaks	4	1
#F6F4BF	118213.055	118214.022	noPeaks	4	1
#F6F4BF	118214.653	118215.916	noPeaks	4	1
#F6F4BF	118216.57	118220.883	noPeaks	4	1
#F6F4BF	118222.047	118228.604	noPeaks	4	1
#FFAFAF	118229.419	118230.534	peakStart	4	3
#FF4C4C	118230.778	118232.881	peakEnd	4	2
